Code,Year,HE_Rate,Unemployment_Rate,Self_Employment_Rate,TEA,Moti_Index,區域,Is_East_Asia,Group
AUS,2013,,5.663,13.784446972319767,13.14,3.62,亞太,0,Other OECD
AUS,2014,119.679389953613,6.078,13.652896491868402,13.14,3.62,亞太,0,Other OECD
AUS,2015,119.679389953613,6.055,13.547899347535758,12.79,5.19,亞太,0,Other OECD
AUS,2016,119.682777404785,5.711,14.169464704022877,14.56,3.9,亞太,0,Other OECD
AUS,2017,109.993309020996,5.592,14.380343436008367,12.21,3.75,亞太,0,Other OECD
AUS,2018,103.322090148926,5.345,16.112904514717542,11.365,3.75,亞太,0,Other OECD
AUS,2019,109.759559631348,5.143,16.288196956668997,10.52,,亞太,0,Other OECD
AUS,2020,110.139221191406,6.394,15.976860939052306,10.52,,亞太,0,Other OECD
AUS,2021,112.688293457031,5.022,15.808002475076227,,,亞太,0,Other OECD
AUS,2022,106.240760803223,3.728,15.35223904841764,,,亞太,0,Other OECD
AUS,2023,104.64835357666,3.668,15.125086641720223,,,亞太,0,Other OECD
AUT,2013,80.9616012573242,5.367,12.666470700570104,8.71,3.41,歐洲,0,Other OECD
AUT,2014,81.0195693969727,5.674,12.485555774621773,8.71,3.41,歐洲,0,Other OECD
AUT,2015,82.2563095092773,5.802,12.428404403884253,9.170000000000002,3.205,歐洲,0,Other OECD
AUT,2016,82.8496932983398,6.064,12.130239154116568,9.63,3.0,歐洲,0,Other OECD
AUT,2017,83.8392562866211,5.561,11.833955214318298,10.265,2.6950000000000003,歐洲,0,Other OECD
AUT,2018,85.8698883056641,4.933,11.28830418123579,10.9,2.39,歐洲,0,Other OECD
AUT,2019,86.3234329223633,4.56,11.27477731309452,8.55,2.39,歐洲,0,Other OECD
AUT,2020,88.7071990966797,5.201,11.29547516701705,6.2,,歐洲,0,Other OECD
AUT,2021,93.940071105957,6.459,13.194153264231993,6.495,,歐洲,0,Other OECD
AUT,2022,94.5116882324219,4.992,13.04680368270029,6.79,,歐洲,0,Other OECD
AUT,2023,91.6818237304688,5.264,12.901178240351868,6.79,,歐洲,0,Other OECD
BEL,2013,71.7841110229492,8.425,14.22217744617528,4.92,1.51,,0,Other OECD
BEL,2014,74.0397262573242,8.523,13.65637601455418,5.4,1.41,,0,Other OECD
BEL,2015,76.423942565918,8.482,14.153285949489405,6.24,1.61,,0,Other OECD
BEL,2016,77.2435073852539,7.83,13.881367829224647,6.24,1.61,,0,Other OECD
BEL,2017,80.7738189697266,7.09,13.23557186337165,,,,0,Other OECD
BEL,2018,79.1237487792969,5.941,13.774331599384976,,,,0,Other OECD
BEL,2019,79.3044815063477,5.364,14.007194716446996,,,,0,Other OECD
BEL,2020,79.4996032714844,5.545,14.383065321324004,,,,0,Other OECD
BEL,2021,82.6882019042969,6.248,13.527417283703327,,,,0,Other OECD
BEL,2022,83.5736465454102,5.57,14.587142328281095,,,,0,Other OECD
BEL,2023,82.1475601196289,5.547,13.872493904740752,,,,0,Other OECD
CAN,2013,65.7477188110352,7.143,14.563743592942885,12.19,4.43,美洲,0,Other OECD
CAN,2014,67.1677017211914,7.023,14.192431365364497,13.04,4.04,美洲,0,Other OECD
CAN,2015,67.2690963745117,6.945,14.237329915579439,14.72,4.14,美洲,0,Other OECD
CAN,2016,69.2459411621094,7.038,14.228078249909132,16.72,3.4,美洲,0,Other OECD
CAN,2017,70.2687072753906,6.426,14.127659354302907,18.75,3.14,美洲,0,Other OECD
CAN,2018,69.3507232666016,5.837,14.227014690889394,18.71,3.26,美洲,0,Other OECD
CAN,2019,73.1128768920898,5.69,13.994335638220756,18.16,3.26,美洲,0,Other OECD
CAN,2020,75.2389068603516,9.657,13.820388000303979,15.6,,美洲,0,Other OECD
CAN,2021,79.7657318115234,7.527,12.907409918791238,20.08,,美洲,0,Other OECD
CAN,2022,78.8984985351562,5.279,12.554231685551976,16.53,,美洲,0,Other OECD
CAN,2023,76.2586212158203,5.415,12.343292778069257,19.76,,美洲,0,Other OECD
CHE,2013,56.1812400817871,4.747,13.661952171145739,8.18,8.97,,0,Other OECD
CHE,2014,58.0650596618652,4.826,13.409839996189996,7.12,4.05,,0,Other OECD
CHE,2015,60.8185615539551,4.801,12.937880372388271,7.31,6.53,,0,Other OECD
CHE,2016,61.1939888000488,4.918,13.024078406571968,8.21,5.1,,0,Other OECD
